Filename,Total_TCP,Fast_Retrans,RTO_Timeouts,Loss_Rate_%
bdp_test_16k.pcapng,33149,30,4,0.1
bdp_test_1M.pcapng,488825,0,1,0.0
bufferbloat_stress.pcapng,599706,0,0,0.0
position_10_DL.pcapng,276181,0,0,0.0
position_10_UL.pcapng,236908,29,3,0.01
position_1_DL.pcapng,272081,0,36,0.01
position_1_UL.pcapng,316249,10,1,0.0
position_2_DL.pcapng,270491,0,0,0.0
position_2_UL.pcapng,278922,11,0,0.0
position_3_DL.pcapng,278188,0,18,0.01
position_3_UL.pcapng,258504,39,1,0.02
position_4_DL.pcapng,263540,4,0,0.0
position_4_UL.pcapng,265267,6,0,0.0
position_5_DL.pcapng,252536,0,0,0.0
position_5_UL.pcapng,241244,9,0,0.0
position_6_DL.pcapng,233289,0,0,0.0
position_6_UL.pcapng,229496,4,0,0.0
position_7_DL.pcapng,225324,0,0,0.0
position_7_UL.pcapng,186372,4,0,0.0
position_8_DL.pcapng,270090,0,0,0.0
position_8_UL.pcapng,273567,7,0,0.0
position_9_DL.pcapng,255677,0,0,0.0
position_9_UL.pcapng,237813,3,0,0.0
symmetric_stress.pcapng,423561,47,5,0.01
